id, name, type, samplingRate, min, max, value, status
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,69.01326090163231,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.513559587067483,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,33.00225448961804,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,22.22919787472864,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,7.4039943927626926,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,97.4888621390041,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,59.259520356220335,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,12.712201754004886,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,47.03036969478613,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,30.827598526492782,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,84.55216474832238,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,65.25627520982826,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.313627421781717,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.543753961355045,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,69.65800795569098,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,24.098248004910204,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.0553119674706215,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,35.99818179350852,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,52.47859050064683,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,12.562882911384586,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,17.681955499135462,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,42.418305387761194,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,9.665415581235616,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,55.87114606228723,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,34.420646999898985,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,91.01180607077094,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,38.785303458666576,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.01627397845384,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.51621768268393,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,65.79253977348293,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,40.97693659261874,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.200640276573096,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,32.491053999359536,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,22.925329352721448,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,5.259252970556095,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,105.1545841798652,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,35.13634357032411,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,9.689325201230979,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,30.613589804616687,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,39.900507148288085,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,60.89238289769832,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,58.2964276439824,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.156158748817905,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.888935459101457,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,44.32822523428318,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,34.681730905676815,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.735499794263845,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,39.53399017535327,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,31.301935371748247,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,9.689857608485148,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,91.9423704235816,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,28.941231850876058,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.368638022732065,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,29.9227578954709,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,32.12136363079172,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,67.34732366271987,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,67.12855293930741,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,10.019779134063114,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,10.79994330957513,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,34.19730600219051,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,29.279399233424744,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,5.029121471773047,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,32.04586159130086,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,59.456595929965275,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,9.953834772385374,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,46.47206137932194,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,29.402297635963777,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,15.046460600362032,FAILED
1,Temperatura motor,Temperatura,10,15,70,55.33182656775749,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,32.58263414111129,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,105.9981784811127,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,20.361730148904478,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,12.88434825981237,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.07344490466987,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,65.77586761936139,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,88.78451579470551,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.131067251593208,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,30.487247632045015,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,24.114253268541127,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,10.497389284353368,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,103.9777146770717,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,54.81723161894509,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.145826605825777,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,70.07705459624397,FAILED
2,Pressão do óleo,Pressão,20,30,40,30.182498798258898,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,41.19990526049562,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,23.402367758153545,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.012702390083383,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.179007375134844,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,55.54308847742681,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,67.27797879600479,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.253539845422892,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,38.698776999464656,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,52.77144593601233,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.264969904542887,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,22.44818531342856,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,30.416017686678614,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,5.314753806345471,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,21.24790868886886,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,32.98247158156612,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,67.6102404997679,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,66.08522696411508,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,12.582311744478902,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.12525086348568,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,55.070869136722166,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,20.47018472858876,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,8.781132629378371,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,35.77948916827964,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,61.15888774082052,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.27016689388957,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,22.40999062860832,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,64.45720820163638,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,5.193500005824541,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,32.01862300000944,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,35.26319791839405,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,55.70150675187491,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,69.90238391613991,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,9.983996015778636,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,5.086225488588966,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,67.65578749915176,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,65.11706040841341,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,5.0497691899992825,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,34.27046607514677,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,25.03653790916134,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.977811360508992,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,83.00024086937289,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,64.23530187169429,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,8.887025399441846,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,58.976415282863954,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,35.34882611289016,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,95.56258439232391,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,54.33916844886106,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.686375037802232,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.29211302469221,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,28.10673378011179,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,19.990431425679667,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.956230144025945,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,40.15679480171487,FAILED
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,22.1927659974183,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.803086941142356,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,22.15131845692816,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,67.87470071983117,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.491549841855062,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,26.19694920261791,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,31.965941277376754,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,9.589447456691591,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,69.00423277591061,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.725464051059738,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.676674996797772,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,61.33727984181783,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,26.42564936656731,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.466146955894672,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,30.256424415328382,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,69.16147628037682,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,7.396718928808153,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,88.76610024816848,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,39.06399332678497,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.49589324745932,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,47.34722714391843,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,38.512762619715716,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,58.60615033523393,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,54.0698892349735,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.54902325646753,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.121364179066703,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,68.61395642237785,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,18.737597106593274,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.774273110013983,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,30.762086477545683,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,47.23245262245888,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,7.002323772619194,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,92.38706415139823,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,22.442505542744072,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,12.370395001059363,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,48.51675446990662,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,36.60440585520362,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,104.01650279347216,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,68.24789295292463,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.65952342794148,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.909265513611246,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,19.997404227006967,FAILED
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,37.718724209624725,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,10.82251065540632,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,39.3741935873318,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,57.33685630506615,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.790607204224731,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,44.945759582445866,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,36.337262905278536,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,8.63019682011161,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,15.339910545543678,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,36.78343618718641,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,63.04156741308334,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,64.8197400749098,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.197745688754772,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,8.310335063006253,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,38.5793986814097,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,6.126664105924668,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,39.2467437915483,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.834461609344899,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,40.475814111793696,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,87.2087244631694,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.164579980951594,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,55.43139614962146,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,5.350704409586484,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,63.34457204250035,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,33.85991422049068,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,66.46066575947287,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,30.434908679759634,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.591247590645175,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,7.28462870689914,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,50.24115515010039,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,52.59561387523776,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,32.917519378268466,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,5.436160139388364,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,45.87096617378359,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,43.079286032596706,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,9.440055422481652,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,30.15460512532669,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,8.260150554557622,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,65.42370178444197,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,31.603603462353945,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,104.45913025487275,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,68.39594792730698,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.07232835960426,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,8.288672879680512,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,19.886311331863514,FAILED
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,90.65929876701992,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,35.616643380758596,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,12.309815943526484,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,51.32079788218329,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,93.27526464172408,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,7.497935424848141,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,67.81316079906419,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.830907873930257,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,19.818172498316066,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,32.152164793165326,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,96.89415112363001,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,23.352076239266335,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.099113320314064,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.75620823647289,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,51.42648665909957,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,109.3064343689573,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,35.3066663986852,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,10.91824888216538,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,44.46344837633266,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,70.11490284913648,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.895330589009756,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,57.74092993235588,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,9.499131990004663,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,47.95546430159375,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,40.141719393362436,FAILED
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,89.27024536123704,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,53.411859464592155,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.746543659536407,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.617162051692203,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,65.05780928734367,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,50.042187634880044,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,32.00265861716118,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,5.461071219509089,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,50.4950523907232,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,35.37168287402039,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,5.056902195968093,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,57.99155052530942,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,8.95307708203904,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,46.58975323313088,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,37.75268890590885,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,99.58678119421928,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,26.219065291771855,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,5.0485279588548675,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,9.428603673735308,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,66.20485254592634,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,13.763332206389702,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,32.11908048919424,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,9.647503553515183,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,32.973678989627714,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,40.102946496491384,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,12.67739891882078,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,25.38024693045824,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,10.315459019419468,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,54.01297062350727,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,39.9849181069818,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,6.215905186314128,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,39.387646225745584,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.713671739789263,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,44.15100394212323,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.044797446763294,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,8.313501081417435,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,31.756939760524162,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.92983326097639,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,62.98933858074571,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,24.775698795190472,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.89435968851437,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,57.973990522516374,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.929130292176197,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,64.2983500606555,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,29.913735899701905,FAILED
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,42.837621435560415,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,47.50014585479271,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,7.52486119372329,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,8.586104532194932,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,34.17007363717035,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,43.32606305489513,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,30.246848511009592,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,8.534861871322263,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,46.558564565879365,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,55.558275667467704,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,8.244553616080104,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,40.70009730342557,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.5971960352006205,SUCCESS
